"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Verkehr","Motorisierungsgrad","privat","34.8","21472","61655","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Verkehr","Motorisierungsgrad","privat","32.9","17111","52000","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Verkehr","Motorisierungsgrad","privat","39.5","19216","48606","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","25","25 Laim"
"Verkehr","Motorisierungsgrad","gesamt","39.1","9808","25078","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","8","08 Schwanthalerhöhe"
"Verkehr","Motorisierungsgrad","gesamt","45.5","45580","100129","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Verkehr","Motorisierungsgrad","gesamt","44","18714","42563","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","20","20 Hadern"
"Verkehr","Motorisierungsgrad","gesamt","54.4","32656","60060","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","12","12 Schwabing - Freimann"
"Verkehr","Motorisierungsgrad","privat","36.8","12929","35102","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","6","06 Sendling"
"Verkehr","Motorisierungsgrad","privat","32.2","14177","44059","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Verkehr","Motorisierungsgrad","gesamt","41.5","22527","54272","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","4","04 Schwabing - West"
"Verkehr","Motorisierungsgrad","privat","49.3","23253","47186","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Verkehr","Motorisierungsgrad","privat","38.3","31362","81947","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Verkehr","Motorisierungsgrad","gesamt","74.5","45955","61655","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Verkehr","Motorisierungsgrad","gesamt","46.4","17397","37532","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Verkehr","Motorisierungsgrad","gesamt","56.6","26235","46333","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","10","10 Moosach"
"Verkehr","Motorisierungsgrad","privat","45.9","35661","77659","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
