"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Überalterungsquotient","gesamt","137,5","11342","8249","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Überalterungsquotient","gesamt","96,9","6145","6343","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Überalterungsquotient","gesamt","148,9","8517","5721","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Überalterungsquotient","Deutsche","164,8","7747","4700","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Überalterungsquotient","Ausländer_innen","34,9","13622","39071","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Überalterungsquotient","Deutsche","163,4","4165","2549","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Überalterungsquotient","gesamt","128,6","4972","3867","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Überalterungsquotient","gesamt","138,1","7493","5426","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Überalterungsquotient","gesamt","187,3","9417","5028","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Überalterungsquotient","gesamt","142,9","7215","5048","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Überalterungsquotient","Ausländer_innen","32,9","436","1325","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Überalterungsquotient","Deutsche","187,1","12728","6802","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Überalterungsquotient","Deutsche","220,9","8185","3705","","","","Anzahl Einwohner ab 65 (deutsch)","Anzahl Einwohner jünger 15 (deutsch)","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Überalterungsquotient","gesamt","111,9","7019","6271","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Überalterungsquotient","Ausländer_innen","24,3","610","2509","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Überalterungsquotient","Ausländer_innen","35,2","501","1425","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Überalterungsquotient","gesamt","97,7","14569","14919","","","","Anzahl Einwohner ab 65 (gesamt)","Anzahl Einwohner jünger 15 (gesamt)","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
