"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Grundschüler_innen","Nationalität","ausländisch","26,5","406","1532","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","20","20 Hadern"
"Grundschüler_innen","Nationalität","deutsch","86,9","1545","1778","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","21","21 Pasing - Obermenzing"
"Grundschüler_innen","Nationalität","deutsch","76","1073","1412","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","10","10 Moosach"
"Grundschüler_innen","Nationalität","ausländisch","26,6","374","1405","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Grundschüler_innen","Nationalität","ausländisch","30","175","584","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","8","08 Schwanthalerhöhe"
"Grundschüler_innen","Nationalität","deutsch","64,8","1360","2098","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Grundschüler_innen","Nationalität","ausländisch","35,2","738","2098","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Grundschüler_innen","Nationalität","ausländisch","31,2","1013","3250","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Grundschüler_innen","Nationalität","deutsch","85,1","268","315","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","1","01 Altstadt - Lehel"
"Grundschüler_innen","Nationalität","ausländisch","24","339","1412","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","10","10 Moosach"
"Grundschüler_innen","Nationalität","ausländisch","27,4","270","984","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","6","06 Sendling"
"Grundschüler_innen","Nationalität","ausländisch","27,8","258","929","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Grundschüler_innen","Nationalität","deutsch","75,9","936","1233","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","25","25 Laim"
"Grundschüler_innen","Nationalität","deutsch","85,7","439","512","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","4","04 Schwabing - West"
"Grundschüler_innen","Nationalität","deutsch","70","409","584","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","8","08 Schwanthalerhöhe"
"Grundschüler_innen","Nationalität","deutsch","82,8","967","1168","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Grundschüler_innen","Nationalität","ausländisch","17,2","201","1168","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Grundschüler_innen","Nationalität","ausländisch","29,7","588","1981","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Grundschüler_innen","Nationalität","ausländisch","18,1","318","1756","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","12","12 Schwabing - Freimann"
"Grundschüler_innen","Nationalität","deutsch","82,7","991","1199","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","23","23 Allach - Untermenzing"
"Grundschüler_innen","Nationalität","deutsch","77,1","27780","36019","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Gesamtstadt","#100","Stadt München"
"Grundschüler_innen","Nationalität","deutsch","80,4","800","995","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","3","03 Maxvorstadt"
"Grundschüler_innen","Nationalität","ausländisch","13,1","233","1778","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","21","21 Pasing - Obermenzing"
"Grundschüler_innen","Nationalität","ausländisch","15,7","328","2094","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","13","13 Bogenhausen"
"Grundschüler_innen","Nationalität","deutsch","73,8","858","1162","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2008","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Grundschüler_innen","Nationalität","ausländisch","16","52","325","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2008","Stadtbezirk","1","01 Altstadt - Lehel"
"Grundschüler_innen","Nationalität","ausländisch","23,9","216","902","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2008","Stadtbezirk","7","07 Sendling - Westpark"
"Grundschüler_innen","Nationalität","deutsch","84","273","325","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2008","Stadtbezirk","1","01 Altstadt - Lehel"
"Grundschüler_innen","Nationalität","deutsch","84,1","1162","1381","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2008","Stadtbezirk","5","05 Au - Haidhausen"
"Grundschüler_innen","Nationalität","ausländisch","26,2","304","1162","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2008","Stadtbezirk","17","17 Obergiesing - Fasangarten"
